UniProt,Position,Target
P51884,233,P
P38398,978,P
P38398,1552,P
P60568,65,P
Q9BXJ9,66,P
Q9BXJ9,86,P
Q9BXJ9,247,P
Q9BXJ9,280,P
Q9BXJ9,396,P
Q9BXJ9,538,P
Q92608,48,P
Q92608,209,P
Q92608,212,P
Q92608,481,P
Q92608,482,P
Q92608,699,P
Q92608,758,P
Q92608,798,P
Q92608,1119,P
Q92608,1220,P
Q92608,1434,P
Q92608,1555,P
Q92608,1617,P
Q92993,44,P
Q92993,294,P
Q92993,472,P
Q8WZA1,111,P
Q96JA4,28,P
Q99497,67,P
Q99497,139,P
Q99497,141,P
Q9Y4E5,831,P
Q9Y5X0,140,P
Q9Y5X0,171,P
P42261,226,P
P42261,228,P
P42261,294,P
Q16775,61,P
Q16775,223,P
P25705,243,P
P25705,246,P
P25705,299,P
P25705,311,P
P25705,337,P
P25705,343,P
P25705,440,P
P60174,16,P
P60174,85,P
P60174,105,P
P60174,202,P
P60174,246,P
P48723,211,P
P48723,272,P
P48723,275,P
P46019,613,P
P46019,615,P
P46019,811,P
Q9UPC5,153,P
Q9UPC5,363,P
Q96Q27,162,P
Q9Y3A5,128,P
Q9NS85,210,P
Q96M93,227,P
Q96M93,230,P
Q96M93,293,P
Q5BKT4,366,P
Q0JRZ9,22,P
Q0JRZ9,323,P
Q0JRZ9,651,P
Q0JRZ9,676,P
Q8N693,7,P
Q8N693,14,P
Q8IWK6,373,P
Q8IWK6,878,P
Q8IWK6,950,P
Q8IWK6,1224,P
Q15645,56,P
Q15645,152,P
Q15645,206,P
Q9H8V3,244,P
Q9H8V3,539,P
P30040,47,P
P30040,64,P
P30040,66,P
P30040,108,P
P30040,115,P
P30040,119,P
Q9NPC6,75,P
Q9NPC6,127,P
Q9NPC6,182,P
P08100,136,P
P08100,301,P
P08100,306,P
Q9UPU3,255,P
Q9UPU3,257,P
Q9UPU3,809,P
Q8NBV4,172,P
Q8NBV4,187,P
Q9NVD3,231,P
Q5T6L9,203,P
Q5T6L9,274,P
Q86Y97,96,P
Q86Y97,259,P
Q6UY27,63,P
P17482,33,P
P17482,192,P
P49790,58,P
P49790,88,P
P49790,122,P
P49790,260,P
P49790,283,P
P49790,301,P
P49790,361,P
P49790,382,P
P49790,637,P
P38432,128,P
P38432,461,P
P38432,488,P
O60383,394,P
O60383,407,P
O60383,440,P
P61221,155,P
P61221,411,P
P61221,594,P
Q9H330,292,P
Q9H330,531,P
Q9H330,533,P
Q9UBW8,137,P
P24347,162,P
Q7RTS1,178,P
Q6PL18,304,P
Q6PL18,305,P
Q6PL18,322,P
Q6PL18,344,P
Q6PL18,750,P
Q6PL18,858,P
Q6PL18,1043,P
Q6PL18,1049,P
Q6PL18,1063,P
Q6PL18,1086,P
Q6PL18,1122,P
O95147,161,P
O95147,178,P
O95147,185,P
P08865,37,P
P08865,39,P
P08865,47,P
P08865,139,P
P08865,156,P
P08865,204,P
O43688,75,P
O43688,78,P
O43688,91,P
O43688,118,P
O43688,281,P
O43688,283,P
Q8NA54,502,P
Q9P2W1,109,P
Q8WV41,70,P
Q8WV41,85,P
Q8WV41,249,P
Q8WV41,252,P
Q8WV41,264,P
P55072,110,P
P55072,138,P
P55072,143,P
P55072,173,P
P55072,203,P
P55072,244,P
P55072,495,P
P55072,644,P
P55072,755,P
P55072,796,P
P55072,805,P
Q9UNY4,30,P
Q9UNY4,285,P
Q9UNY4,416,P
Q9UNY4,523,P
Q9UNY4,869,P
Q9UNY4,1036,P
Q86YW0,582,P
Q9HAI6,124,P
Q9BYD2,80,P
Q96FQ6,20,P
Q96FQ6,26,P
Q8NEN0,16,P
Q6ZMC9,310,P
P51148,83,P
Q96PE1,377,P
Q96PE1,774,P
P02808,49,P
P07237,63,P
P07237,94,P
P07237,99,P
P07237,268,P
P07237,327,P
P07237,457,P
P42566,443,P
P42566,849,P
Q96PQ0,471,P
Q96PQ0,540,P
Q9BXY5,517,P
P08069,113,P
P08069,115,P
P08069,131,P
P08069,577,P
P08069,580,P
P08069,973,P
P08069,980,P
P08069,1014,P
P08069,1161,P
P08069,1165,P
P08069,1166,P
P08069,1280,P
P08069,1281,P
P08069,1346,P
P67775,86,P
P67775,248,P
P67775,265,P
P67775,284,P
P67775,307,P
Q9BSC4,339,P
Q9BSC4,340,P
Q9BSC4,593,P
Q9UJ14,21,P
Q969V5,156,P
Q969V5,350,P
Q16555,3,P
Q16555,32,P
Q16555,431,P
Q16555,479,P
Q16555,499,P
O43295,17,P
O43295,63,P
O43295,161,P
O43295,359,P
O43295,446,P
O43295,755,P
O43295,845,P
Q8NEF9,270,P
Q96SB3,23,P
Q96SB3,483,P
Q96SB3,748,P
Q13094,23,P
Q13094,29,P
Q13094,39,P
Q13094,113,P
Q13094,128,P
Q13094,145,P
Q13094,173,P
Q13094,423,P
Q13094,426,P
Q13094,459,P
Q13094,465,P
Q13094,470,P
Q13094,476,P
Q13094,483,P
Q13094,522,P
Q13094,532,P
P45954,198,P
P45954,199,P
P45954,372,P
P45954,373,P
P45954,413,P
P17098,313,P
P17098,341,P
P17098,369,P
Q5VV17,293,P
Q86VF7,53,P
Q86VF7,68,P
Q86VF7,161,P
Q86VF7,334,P
Q86VF7,465,P
Q86VF7,523,P
Q86VF7,986,P
Q9NS98,507,P
Q9NS98,707,P
Q8NDV1,180,P
Q14CZ7,624,P
Q96A59,163,P
Q96A59,177,P
Q9H6R0,63,P
Q9H6R0,368,P
Q9H6R0,380,P
Q9H6R0,418,P
Q9Y259,72,P
Q9Y259,381,P
Q07065,322,P
Q8IWY8,706,P
Q9UBU7,112,P
Q9UBU7,177,P
Q9UBU7,278,P
Q9UBU7,303,P
Q9UBU7,353,P
Q9UBU7,637,P
P52701,8,P
P52701,151,P
P52701,214,P
P52701,642,P
P52701,709,P
Q9BX40,64,P
Q9BX40,66,P
Q9BX40,114,P
Q9BX40,311,P
Q9BX40,312,P
Q7Z2K8,45,P
Q7Z2K8,226,P
Q13523,140,P
Q13523,554,P
Q13523,643,P
Q13523,674,P
Q13523,849,P
Q13523,855,P
Q9UJ78,668,P
Q5D1E8,398,P
Q02156,434,P
Q02156,573,P
O43300,18,P
O43300,381,P
O43300,511,P
Q9H299,7,P
Q9H299,35,P
Q9H299,70,P
Q9H299,74,P
Q59H18,62,P
Q59H18,416,P
Q59H18,425,P
Q59H18,771,P
Q59H18,788,P
Q59H18,804,P
Q59H18,810,P
Q59H18,812,P
Q5VZY2,238,P
Q9NRM1,383,P
Q9NRM1,543,P
Q9UBR4,176,P
Q9UBR4,227,P
Q6NVH7,101,P
Q5T2D2,297,P
Q8IVH8,27,P
Q8IVH8,31,P
Q8IVH8,366,P
Q8IVH8,367,P
Q8IVH8,379,P
Q8IVH8,387,P
Q8IVH8,735,P
Q8IWV7,688,P
Q8IWV7,1052,P
Q8IWV7,1302,P
Q9NYV7,239,P
P12004,60,P
P12004,114,P
P12004,133,P
P12004,211,P
P12004,250,P
P09529,202,P
Q8NHH9,43,P
Q8NHH9,117,P
Q8NHH9,119,P
Q8NHH9,456,P
Q9H267,67,P
Q9H267,312,P
Q9H267,501,P
P35268,114,P
Q7Z2E3,209,P
Q7Z2E3,214,P
O95389,192,P
Q8NHQ1,246,P
Q9P227,90,P
Q9P227,163,P
Q9P227,422,P
Q9P227,597,P
Q9P227,612,P
Q9P227,1122,P
Q8IXB1,112,P
Q8IXB1,313,P
P57768,86,P
Q7Z4I7,185,P
Q6P587,64,P
Q15208,31,P
Q15208,288,P
Q15208,443,P
Q15208,445,P
Q15208,460,P
O75448,66,P
O75448,75,P
Q9P219,219,P
Q9P219,1272,P
Q9P219,1395,P
Q9P219,1699,P
Q9P219,2023,P
Q9P219,2025,P
O75817,20,P
O75817,38,P
O75817,70,P
Q9UK41,21,P
Q6P2C0,115,P
Q6P2C0,476,P
Q8NAN2,61,P
Q8NAN2,152,P
Q86UB2,288,P
Q86UB2,319,P
Q86UB2,321,P
Q6ZSB9,652,P
Q04323,179,P
Q04323,242,P
Q9UPT8,155,P
Q9UPT8,158,P
Q9UPT8,162,P
Q9UPT8,169,P
Q9UPT8,204,P
Q9UPT8,217,P
Q9UPT8,227,P
Q9UPT8,247,P
Q9UPT8,313,P
Q9UPT8,364,P
Q9UPT8,376,P
Q9UPT8,806,P
Q9UPT8,1121,P
Q9UPT8,1218,P
Q9UKK9,16,P
Q9UKK9,74,P
O00754,118,P
O00754,295,P
O00754,461,P
O00754,704,P
O75487,186,P
O75487,253,P
Q96QT4,776,P
Q15532,416,P
P28906,286,P
P28906,329,P
P28906,330,P
P28906,339,P
Q9BYX2,571,P
Q9BYX2,846,P
Q8IWL2,184,P
P18124,139,P
P18124,155,P
P18124,159,P
P18124,195,P
Q9H6D7,182,P
Q9H6D7,183,P
Q9H6D7,341,P
Q9H6D7,362,P
Q13275,131,P
Q13275,144,P
Q13275,442,P
Q13275,478,P
Q8N371,262,P
A7MD48,416,P
A7MD48,429,P
A7MD48,457,P
A7MD48,460,P
A7MD48,549,P
A7MD48,600,P
P62241,27,P
P62241,83,P
P62241,109,P
P62241,113,P
P62241,117,P
P62241,188,P
P62241,198,P
Q7Z434,9,P
Q7Z434,11,P
Q7Z434,30,P
Q7Z434,71,P
Q7Z434,92,P
Q9NVI1,215,P
Q9NVI1,606,P
Q9NVI1,610,P
Q9HC44,86,P
Q9HC44,400,P
Q96CV9,356,P
Q96CV9,533,P
P30876,125,P
P30876,206,P
P30876,215,P
P30876,217,P
P30876,689,P
P30876,724,P
P30876,736,P
P30876,752,P
P30876,845,P
P30876,1018,P
P30876,1020,P
Q9BWD1,81,P
Q9BWD1,130,P
O00444,177,P
O00444,377,P
O00444,394,P
O00444,420,P
O00444,495,P
O00444,582,P
Q9Y5U2,155,P
P52790,755,P
Q8NDX1,816,P
Q8NDX1,975,P
Q5VW32,20,P
Q5VW32,21,P
Q5VW32,281,P
Q5VW32,331,P
Q5VW32,348,P
Q6PEW1,199,P
Q6PEW1,395,P
Q86VE0,40,P
P13591,744,P
P05181,83,P
P05181,245,P
P37840,39,P
P37840,125,P
P37840,133,P
P37840,136,P
O43909,4,P
O43909,142,P
P48736,757,P
Q92979,61,P
Q92979,222,P
O15169,82,P
O15169,148,P
O15169,787,P
O15169,788,P
O15169,796,P
Q86Y34,70,P
Q86Y34,347,P
Q96JN8,821,P
O95256,557,P
Q8WV28,72,P
Q8WV28,84,P
Q8WV28,96,P
Q8WV28,178,P
Q8WV28,189,P
Q9NXB0,221,P
Q3SXY8,184,P
Q3SXY8,320,P
Q3SXY8,406,P
Q13017,306,P
Q13017,1019,P
Q13017,1091,P
Q13017,1104,P
Q13017,1109,P
P05387,3,P
P05387,7,P
P35968,801,P
P35968,822,P
P35968,951,P
P35968,996,P
P35968,1054,P
P35968,1059,P
P35968,1175,P
P35968,1214,P
P35968,1223,P
P35968,1305,P
P35968,1309,P
P35968,1319,P
Q9UJM3,33,P
Q9UJM3,54,P
Q9UJM3,193,P
Q9UJM3,224,P
Q9UJM3,341,P
Q9UJM3,358,P
Q9UJM3,394,P
Q9UJM3,395,P
Q9UJM3,403,P
Q9UJM3,407,P
Q9UJM3,458,P
Q8N5B7,388,P
Q495W5,350,P
Q495W5,353,P
Q9NRM6,97,P
Q9NRM6,310,P
Q9NV96,5,P
Q9NV96,128,P
Q96DE5,61,P
Q9BXT5,193,P
Q9BXT5,374,P
Q9BXT5,403,P
Q9BXT5,903,P
Q9BXT5,1489,P
Q6PJG6,675,P
Q53S08,56,P
Q99598,127,P
Q99598,237,P
Q99598,244,P
O43916,55,P
O43916,128,P
O43916,297,P
Q9Y2E8,518,P
Q96HB5,271,P
Q96HB5,398,P
Q96HB5,602,P
Q15437,4,P
Q15437,333,P
Q15437,707,P
Q15437,734,P
Q9NVM6,273,P
P57764,37,P
P57764,158,P
P42696,33,P
P42696,71,P
P42696,247,P
P42696,296,P
Q6ZN04,55,P
Q92481,26,P
Q92481,246,P
Q9ULL1,559,P
Q9ULL1,947,P
Q9ULL1,1042,P
Q9ULL1,1109,P
Q9ULL1,1163,P
Q9ULL1,1178,P
Q9Y3P8,90,P
Q9Y3P8,95,P
Q9Y3P8,127,P
Q9Y3P8,148,P
Q9Y3P8,169,P
Q9Y3P8,188,P
Q9HBM1,150,P
O43196,242,P
O43196,549,P
O43196,742,P
Q96NY9,53,P
P04053,477,P
Q9P1Z0,415,P
O15553,732,P
O15553,741,P
Q96G42,496,P
Q8N4G2,31,P
Q6IQ23,243,P
Q6IQ23,345,P
Q6IQ23,365,P
Q6IQ23,412,P
Q6IQ23,470,P
Q6IQ23,495,P
Q6IQ23,497,P
Q6IQ23,524,P
Q6IQ23,656,P
Q6IQ23,665,P
Q6IQ23,888,P
Q6IQ23,891,P
Q6IQ23,1011,P
Q6IQ23,1035,P
Q6IQ23,1062,P
Q96T49,382,P
Q96T49,435,P
Q96T49,437,P
Q96T49,453,P
Q96T49,536,P
Q96T49,537,P
Q53RT3,161,P
Q53RT3,196,P
Q53RT3,197,P
Q7Z4N8,147,P
Q7Z4N8,171,P
Q969U7,141,P
Q9UHK6,126,P
Q9UHK6,365,P
Q8NHQ9,31,P
Q8NHQ9,305,P
Q9BW71,111,P
Q9BW71,167,P
Q9Y2V7,223,P
Q9Y2V7,638,P
Q6PUV4,70,P
Q9P0L2,172,P
Q9P0L2,494,P
Q9P0L2,505,P
Q9P0L2,514,P
Q9Y221,45,P
Q9Y221,46,P
Q9Y221,88,P
Q16798,107,P
Q16798,555,P
Q16798,592,P
P52788,134,P
P52788,141,P
P52788,147,P
P52788,189,P
Q99832,222,P
Q99832,263,P
Q99832,275,P
Q99832,302,P
Q9H2F9,327,P
Q2M3T9,43,P
Q2M3T9,296,P
O43765,9,P
O43765,141,P
O43765,158,P
O43765,162,P
O43765,195,P
P23327,99,P
P23327,209,P
P23327,618,P
Q9UBB5,178,P
Q9UBB5,179,P
Q9H7P9,489,P
Q9H7P9,1285,P
Q86UV5,162,P
Q86UV5,326,P
Q86UV5,859,P
Q86UV5,865,P
Q86UV5,924,P
O75528,26,P
O75528,133,P
Q8WYK0,329,P
Q8WYK0,485,P
Q8IY50,115,P
Q8IY50,116,P
Q16627,86,P
Q96EH3,123,P
Q06330,122,P
Q06330,129,P
P48048,337,P
Q9Y2G1,147,P
Q9Y2G1,198,P
Q9Y2G1,343,P
Q9Y2G1,416,P
P15502,206,P
Q9BYE7,164,P
Q8TF72,260,P
Q8TF72,321,P
Q8TF72,392,P
Q8TF72,501,P
Q8TF72,774,P
Q9UBU6,241,P
O43246,56,P
Q08AI6,70,P
Q8TC59,652,P
Q8TC59,772,P
P35499,1715,P
Q9NZN8,37,P
Q9NZN8,43,P
Q9NZN8,44,P
Q9NZN8,258,P
Q9NZN8,396,P
Q9NZN8,471,P
Q9NZN8,494,P
Q9NZN8,500,P
Q8NCW6,414,P
Q9Y4I5,418,P
O15382,228,P
O60841,134,P
O60841,446,P
O60841,593,P
O60841,762,P
O60841,1100,P
O60239,101,P
Q9BQA5,333,P
Q9BQA5,345,P
O15374,11,P
Q96GI7,135,P
Q9H0U9,270,P
P13987,29,P
P13987,86,P
P13987,87,P
P35442,1024,P
P35442,1031,P
P35442,1038,P
O75155,341,P
Q6P6C2,51,P
Q6P6C2,60,P
Q6P6C2,71,P
Q6P6C2,372,P
Q96JZ2,135,P
Q96JZ2,265,P
Q86W50,514,P
O75376,20,P
O75376,89,P
O75376,275,P
O75376,341,P
O75376,342,P
O75376,477,P
O75376,478,P
O75376,1212,P
O75376,1222,P
O75376,1247,P
O75376,1314,P
O75376,1435,P
O75376,1476,P
O75376,1488,P
O75376,1560,P
O75376,1597,P
O75376,1753,P
O75376,1966,P
O75376,1992,P
O75376,2101,P
O75376,2147,P
O75376,2190,P
O75376,2432,P
P02649,180,P
Q9NTI2,288,P
Q9NTI2,424,P
Q9NTI2,450,P
P20036,174,P
O43529,81,P
O43529,348,P
O75541,150,P
Q8NHP6,24,P
Q8TF17,1011,P
Q7L0Y3,137,P
Q7L0Y3,289,P
Q7L0Y3,307,P
Q9HCD6,164,P
Q9HCD6,237,P
Q9HCD6,859,P
Q9HCD6,1528,P
Q9HCD6,1705,P
Q9HCD6,1725,P
Q9HCD6,1726,P
Q9HCD6,1858,P
Q9HCD6,1919,P
Q9HCD6,1920,P
Q9HCD6,1964,P
Q9NS39,696,P
Q66GS9,86,P
Q66GS9,518,P
Q66GS9,858,P
Q5JST6,168,P
Q5JST6,509,P
Q5JST6,519,P
Q13015,9,P
Q13015,38,P
Q13015,69,P
Q17RY0,511,P
Q17RY0,604,P
Q17RY0,609,P
Q17RY0,620,P
Q17RY0,635,P
Q12888,188,P
Q12888,522,P
Q12888,812,P
Q12888,1258,P
Q12888,1259,P
Q12888,1500,P
Q12888,1523,P
Q12888,1552,P
Q12888,1569,P
Q12888,1605,P
Q13939,222,P
Q13939,328,P
Q13939,330,P
Q13939,348,P
Q9NVR5,52,P
Q9NVR5,192,P
Q9NVR5,268,P
Q9NVR5,697,P
Q9NVR5,834,P
Q99424,290,P
Q99424,417,P
Q13490,177,P
P05165,143,P
P05165,346,P
P05165,401,P
P05165,406,P
P05165,473,P
P05165,634,P
O43294,38,P
O43294,60,P
Q9HAQ2,70,P
Q9HAQ2,236,P
Q9Y3A3,141,P
Q9Y3A3,198,P
A8MTL3,210,P
Q5TAH2,137,P
Q5TAH2,645,P
Q5TAH2,646,P
Q5TAH2,651,P
Q9BSR8,10,P
Q9BSR8,60,P
Q99807,26,P
Q9Y2T2,31,P
Q9Y2T2,399,P
Q9Y222,218,P
P51858,23,P
P51858,45,P
P51858,66,P
P51858,100,P
Q15542,797,P
P08621,38,P
P08621,112,P
P08621,126,P
P08621,146,P
P08621,151,P
P08621,161,P
P08621,219,P
P08621,414,P
O43396,262,P
P51991,140,P
P51991,145,P
P51991,149,P
P51991,188,P
P51991,260,P
P51991,267,P
P51991,343,P
P51991,360,P
P51991,364,P
P51991,373,P
P60228,62,P
P60228,116,P
P60228,286,P
P60228,401,P
P60228,445,P
Q68EM7,124,P
Q68EM7,314,P
Q68EM7,377,P
Q9H1Q7,149,P
Q9H1Q7,157,P
Q9H1Q7,439,P
Q96ST8,157,P
Q9NUD5,201,P
Q9Y2B0,71,P
Q9Y2B0,92,P
Q9Y2B0,105,P
O15195,62,P
O15195,294,P
O15195,821,P
O15195,839,P
P48634,17,P
P48634,26,P
P48634,335,P
P48634,636,P
P48634,729,P
P48634,1013,P
P48634,1015,P
P48634,1031,P
P48634,1094,P
P48634,1518,P
P48634,1874,P
P48634,2061,P
P48634,2109,P
Q5SZD1,130,P
Q9UET6,12,P
Q9UET6,167,P
Q9UET6,260,P
Q9UET6,262,P
Q9UET6,274,P
O60346,1712,P
O60346,1713,P
Q7Z6M1,19,P
O15117,4,P
O15117,387,P
O15117,462,P
O15117,559,P
O15117,561,P
O15117,571,P
O15117,595,P
O15117,625,P
O15117,651,P
O15117,701,P
O15117,709,P
O15117,755,P
O15117,757,P
O15117,762,P
O15117,771,P
O15117,780,P
P26196,312,P
P26196,313,P
P26196,440,P
P26196,473,P
Q8N6L0,16,P
Q9UBE8,434,P
Q96JJ7,111,P
Q8IXS6,172,P
Q8IXS6,180,P
Q8IXS6,300,P
P27487,256,P
P27487,439,P
P27487,683,P
Q15007,44,P
Q92973,473,P
Q92973,569,P
Q9C098,382,P
P0C1Z6,131,P
P0C1Z6,244,P
P45381,64,P
P45381,88,P
Q9H6B9,39,P
Q9H6B9,220,P
Q9H6B9,309,P
Q96QP1,119,P
Q96QP1,717,P
Q96QP1,1037,P
O95922,178,P
O95922,183,P
O95922,200,P
O95922,206,P
O95922,212,P
O95922,214,P
O95922,268,P
P61764,145,P
P61764,337,P
P61764,473,P
P61764,531,P
Q9Y375,92,P
Q9Y375,200,P
O75509,409,P
O75509,410,P
O75509,434,P
O75509,460,P
O75509,648,P
P14920,23,P
P40855,199,P
O94830,128,P
O94830,480,P
Q16719,100,P
Q96NS5,398,P
P02655,47,P
O94972,313,P
Q96N64,462,P
P02743,59,P
P02743,142,P
Q8IZY2,528,P
Q9NR56,188,P
Q9NR56,224,P
P20645,255,P
Q9Y4G2,779,P
Q96N76,185,P
Q9NS23,259,P
Q9NWH7,398,P
Q96L58,129,P
Q8IUD2,2,P
Q8IUD2,73,P
Q8IUD2,987,P
Q8IUD2,1051,P
Q15293,115,P
Q15293,145,P
Q15293,147,P
Q15293,278,P
Q15293,290,P
P09958,123,P
P09958,167,P
Q6ZRV2,19,P
Q6ZRV2,24,P
Q6ZRV2,297,P
Q6ZRV2,302,P
Q6ZRV2,454,P
Q6ZRV2,458,P
Q6ZRV2,510,P
Q6ZRV2,875,P
Q6ZRV2,908,P
Q6ZRV2,1032,P
Q6ZRV2,1133,P
Q93034,373,P
Q93034,765,P
Q96DY7,379,P
Q9C0C7,814,P
Q9C0C7,1026,P
Q9UKN7,246,P
Q9UKN7,1331,P
Q9UKN7,1877,P
Q9UKN7,2699,P
Q7Z6E9,87,P
Q7Z6E9,142,P
Q7Z6E9,218,P
Q7Z6E9,228,P
Q7Z6E9,690,P
Q7Z6E9,841,P
Q7Z6E9,883,P
Q7Z6E9,1268,P
Q7Z6E9,1299,P
Q7Z6E9,1408,P
Q7Z6E9,1549,P
Q7Z6E9,1641,P
O14511,194,P
O14511,287,P
O14511,821,P
O14511,822,P
P42771,44,P
P35556,841,P
P35556,2868,P
P35556,2878,P
P06746,36,P
P06746,39,P
P06746,49,P
P06746,250,P
P06746,322,P
Q8WVT3,574,P
Q8WVT3,575,P
Q6QNY1,63,P
Q9UII6,122,P
P11274,58,P
P11274,177,P
P11274,231,P
P11274,246,P
P11274,276,P
P11274,279,P
P11274,283,P
P11274,316,P
P11274,328,P
P11274,360,P
P11274,436,P
P11274,455,P
P11274,513,P
P11274,554,P
P11274,561,P
P11274,591,P
P11274,598,P
P11274,644,P
P11274,751,P
P11274,756,P
P11274,844,P
P11274,852,P
P11274,910,P
P11274,1069,P
P11274,1089,P
Q969Z4,214,P
P37288,150,P
P37288,348,P
Q9BY42,278,P
Q7Z4W1,149,P
Q8WV07,23,P
Q07020,166,P
Q5T0T0,237,P
P05067,115,P
P05067,497,P
P05067,728,P
P05067,757,P
P05067,762,P
Q6PI26,251,P
Q6PI26,261,P
Q8NFW5,95,P
P31785,204,P
P31785,303,P
P31785,325,P
P31785,357,P
P31785,363,P
P54278,519,P
P54278,645,P
Q12899,345,P
Q12899,369,P
P00813,29,P
P00813,30,P
P00813,67,P
P00813,84,P
P00813,240,P
P00813,249,P
P00813,290,P
P00813,308,P
P00813,348,P
P00813,351,P
P51452,23,P
P51452,38,P
P51452,101,P
P51452,138,P
Q15800,278,P
Q8N6G2,202,P
Q8N6G2,262,P
P51149,28,P
P51149,37,P
P51149,183,P
Q9P1Y5,519,P
Q9P1Y5,699,P
Q9P1Y5,1045,P
Q3T8J9,969,P
Q3T8J9,1992,P
Q08257,53,P
Q08257,103,P
Q08257,106,P
Q08257,133,P
Q08257,137,P
O95425,88,P
O95425,120,P
O95425,132,P
O95425,136,P
O95425,167,P
O95425,185,P
O95425,339,P
O95425,642,P
O95425,850,P
O95425,909,P
O95425,947,P
O95425,966,P
O95425,976,P
O95425,993,P
O95425,1317,P
O95425,1337,P
O95425,1378,P
O95425,1579,P
O95425,1710,P
P24666,50,P
P24666,88,P
P24666,120,P
P24666,132,P
P24666,133,P
P24666,143,P
O96005,275,P
O96005,280,P
O96005,284,P
Q8NBZ0,11,P
Q8NBZ0,129,P
Q5M9N0,235,P
Q9H3T2,202,P
Q15363,150,P
Q9Y228,185,P
Q9Y228,254,P
Q9Y228,260,P
Q9Y228,322,P
Q9BVG4,72,P
Q9BQI3,38,P
Q9BQI3,193,P
Q8NH87,289,P
Q9H8M5,712,P
Q9H8M5,713,P
P62072,58,P
Q9GZN1,99,P
Q9GZN1,236,P
Q66K64,386,P
Q66K64,571,P
O94929,356,P
O94929,361,P
O94929,376,P
O94929,382,P
O94929,411,P
O94929,480,P
O94929,487,P
O94929,490,P
O94929,538,P
O94929,560,P
O94929,572,P
Q9NPH3,112,P
Q9NPH3,166,P
Q9NPH3,178,P
Q9NPH3,182,P
Q9NPH3,564,P
Q6NVY1,247,P
Q6NVY1,330,P
O95817,86,P
O95817,93,P
O95817,114,P
O95817,205,P
O95817,233,P
O95817,240,P
O95817,247,P
O95817,451,P
O95817,457,P
O95817,508,P
O95866,211,P
O95866,237,P
Q6UXZ0,40,P
Q8N3G9,412,P
Q8N3G9,427,P
P25054,96,P
P25054,316,P
P25054,796,P
P25054,799,P
P25054,863,P
P25054,935,P
P25054,951,P
P25054,997,P
P25054,1078,P
P25054,1102,P
P25054,1183,P
P25054,1615,P
P25054,1846,P
P25054,1854,P
P25054,2366,P
P25054,2645,P
P25054,2838,P
Q9H6V9,143,P
Q04837,73,P
Q04837,99,P
Q04837,101,P
Q04837,119,P
Q9UPW0,81,P
Q9UPW0,214,P
P30086,64,P
P30086,81,P
P30086,106,P
P30086,120,P
P30086,125,P
P30086,169,P
P30086,176,P
P30086,181,P
Q9Y4E6,780,P
Q9Y4E6,793,P
Q9Y4E6,1057,P
Q9Y4E6,1357,P
Q9Y4E6,1362,P
Q9Y4E6,1380,P
Q8IXQ6,12,P
Q8IXQ6,172,P
Q8IXQ6,495,P
Q96M11,48,P
Q96M11,51,P
Q96M11,259,P
Q96M11,264,P
Q08J23,51,P
Q08J23,52,P
Q08J23,83,P
Q08J23,561,P
Q08J23,609,P
Q08J23,646,P
Q6IPW1,19,P
Q6IPW1,92,P
Q03701,184,P
Q03701,192,P
Q03701,213,P
Q03701,465,P
Q03701,496,P
Q03701,571,P
Q8N5W9,170,P
Q8N5W9,173,P
Q8N5W9,178,P
Q8N5W9,184,P
Q9NQQ7,107,P
Q9NQQ7,156,P
Q9NQQ7,358,P
Q5VVW2,155,P
A1L020,119,P
Q96PE2,380,P
Q96PE2,393,P
P04003,470,P
Q4KMQ2,279,P
Q4KMQ2,808,P
Q13427,320,P
Q13427,558,P
Q08AD1,398,P
Q08AD1,419,P
Q08AD1,528,P
Q08AD1,1144,P
Q08AD1,1413,P
Q08AD1,1415,P
Q9Y6H1,99,P
Q8IXI2,160,P
Q8IXI2,276,P
Q8IXI2,463,P
Q8IXI2,465,P
Q8IXI2,611,P
Q96KX2,59,P
Q96KX2,128,P
Q96KX2,281,P
Q96KX2,286,P
Q96KX2,289,P
P43405,28,P
P43405,47,P
P43405,74,P
P43405,91,P
P43405,131,P
P43405,203,P
P43405,244,P
P43405,296,P
P43405,323,P
P43405,348,P
P43405,352,P
P43405,364,P
P43405,431,P
P43405,484,P
P43405,507,P
P43405,525,P
P43405,526,P
P43405,539,P
P43405,546,P
P43405,568,P
P43405,629,P
P43405,630,P
P43405,631,P
Q9BQG0,26,P
Q9BQG0,60,P
Q9BQG0,978,P
P46777,30,P
P46777,31,P
P46777,44,P
P46777,49,P
P46777,66,P
P46777,183,P
P46777,207,P
P46777,219,P
P46777,240,P
P46777,253,P
Q9NSD9,63,P
Q9NSD9,72,P
Q9NSD9,136,P
Q9NSD9,192,P
Q9NSD9,385,P
Q96LD8,8,P
P35542,39,P
P35542,55,P
Q8N3R9,243,P
Q8N3R9,249,P
Q8N3R9,363,P
Q8N3R9,528,P
Q8N3R9,556,P
Q8N3R9,638,P
O95361,341,P
O95361,429,P
O95361,430,P
O95361,441,P
O95361,531,P
Q8N697,52,NP
Q8N697,86,NP
Q8N697,199,NP
Q8N697,215,NP
Q8N697,226,NP
Q8N697,266,NP
Q8N697,331,NP
Q8N697,335,NP
Q8N697,342,NP
Q8N697,444,NP
Q8N697,458,NP
Q8N697,531,NP
Q8N697,534,NP
Q8N697,535,NP
Q8N697,557,NP
O00214,13,NP
O00214,93,NP
O00214,126,NP
